PU,Gwet agreement,Gwet agreement change,Gwet AC1 Coef,std error,unanimity,training_unanimity,testing_unanimity
PU1,0.92,0.47,0.85,0.05,0.65,0.8,0.6
PU2 ,0.98,0.02,0.98,0.02,0.9,1,0.87
PU3,0.96,0.24,0.95,0.03,0.85,0.6,0.93
PU4,0.99,0.42,0.99,0.02,0.95,1,0.93
PU5,0.96,0.42,0.93,0.03,0.75,0.6,0.8
PU6 ,0.93,0.06,0.93,0.02,0.65,0,0.87
PU7,0.95,0.05,0.95,0.02,0.7,0.4,0.8
PU8 ,0.9,0.11,0.89,0.05,0.7,0.6,0.73
PU9 ,0.9,0.15,0.88,0.05,0.65,0.4,0.73
PU10,0.97,0.11,0.96,0.02,0.8,0.6,0.87
PU11,0.97,0.32,0.95,0.03,0.8,0.6,0.87
PU12,0.94,0.06,0.94,0.02,0.7,0.8,0.67
PU13,0.98,0.17,0.97,0.02,0.9,0.6,1
PU14,NA,NA,NA,NA,1,1,1
PU15 ,0.97,0.03,0.97,0.02,0.8,1,0.73
PU16 ,0.99,0.01,0.99,0.01,0.95,1,0.93
PU17 ,0.96,0.04,0.96,0.02,0.75,0,1
PU18,0.76,0.44,0.57,0.1,0.2,0,0.27
PU19,0.97,0.09,0.97,0.03,0.9,1,0.87
PU20,0.8,0.42,0.66,0.06,0.1,0,0.13
PU21,0.95,0.27,0.93,0.03,0.75,1,0.67
PU22 ,0.98,0.02,0.98,0.01,0.9,1,0.87
PU23,0.91,0.42,0.85,0.06,0.6,0.6,0.6
PU24,0.94,0.49,0.88,0.05,0.7,0.8,0.67
PU25,0.93,0.43,0.88,0.04,0.6,0.4,0.67
PU26 ,0.99,0.01,0.99,0.01,0.95,1,0.93
PU27,NA,NA,NA,NA,1,1,1
PU28,0.92,0.17,0.91,0.04,0.65,0.8,0.6
PU29,0.82,0.24,0.77,0.03,0.1,0.2,0.67
PU30,0.94,0.38,0.9,0.05,0.7,0.4,0.8
PU31 ,0.99,0.01,0.99,0.01,0.95,1,0.93
PU32,0.91,0.24,0.89,0.04,0.6,0.6,0.6
PU33,0.94,0.15,0.93,0.03,0.7,0.4,0.8
