"","Observer","Assemblage","Dataset","PU","Presence","Lithics_experience_yrs","CO_experience_yrs","QM_experience_yrs","Days_between_training_testing","Career_stage","Continent","Continent_training","Continent_research","PU_familiarity","PU_experience","PU_application","True_Presence","Deviation","FP","FN","TP","TN"
"1","1","Assemblage1","Training","PU1",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"2","1","Assemblage1","Training","PU2",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"3","1","Assemblage1","Training","PU3",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"4","1","Assemblage1","Training","PU4",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"5","1","Assemblage1","Training","PU5",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"6","1","Assemblage1","Training","PU6",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"7","1","Assemblage1","Training","PU7",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"8","1","Assemblage1","Training","PU8",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"9","1","Assemblage1","Training","PU9",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"10","1","Assemblage1","Training","PU10",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"11","1","Assemblage1","Training","PU11",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"12","1","Assemblage1","Training","PU12",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"13","1","Assemblage1","Training","PU13",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"14","1","Assemblage1","Training","PU14",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"15","1","Assemblage1","Training","PU15",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"16","1","Assemblage1","Training","PU16",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"17","1","Assemblage1","Training","PU17",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"18","1","Assemblage1","Training","PU18",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"19","1","Assemblage1","Training","PU19",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"20","1","Assemblage1","Training","PU20",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"21","1","Assemblage1","Training","PU21",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"22","1","Assemblage1","Training","PU22",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"23","1","Assemblage1","Training","PU23",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"24","1","Assemblage1","Training","PU24",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"25","1","Assemblage1","Training","PU25",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"26","1","Assemblage1","Training","PU26",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"27","1","Assemblage1","Training","PU27",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"28","1","Assemblage1","Training","PU28",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"29","1","Assemblage1","Training","PU29",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"30","1","Assemblage1","Training","PU30",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
"31","1","Assemblage1","Training","PU31",0,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",0,0,0,0,0,1
"32","1","Assemblage1","Training","PU32",1,16,16,16,21,"Postdoctoral","Europe","Europe","Asia","No","No","No",1,0,0,0,1,0
